-103.409,0.061967845
-96.023,0.026889381
-88.636,0.021272225
-81.25,0.01003134
-73.864,0.148701793
-66.477,0.247113771
-59.091,0.311446475
-51.704,0.400339856
-44.318,0.573829116
-36.932,0.979074533
-29.545,1
-22.159,0.828732623
-14.773,0.566006511
-7.386,0.404783621
0,0.414581597
7.386,0.460355337
14.773,0.582034633
22.159,0.77044436
29.545,0.807779218
36.932,0.790410079
44.318,0.775818292
51.705,0.651912183
59.091,0.588065927
66.477,0.42528509
73.864,0.220927767
81.25,0.176605154
88.636,0.13272626
96.023,0.023834292
103.409,0
